Player	Team	Positions	PTS	REB	AST	BLK
James Harden	HOU	PG,SG	2458	465	570	52
Stephen Curry	GSW	PG,SG	2222	424	454	25
Giannis Antetokounmpo	MIL	SF,PF	2176	923	457	118
Damian Lillard	POR	PG	2147	339	554	29
Anthony Davis	LAL	PF,C	2117	852	230	191
Bradley Beal	WAS	SG	2064	403	423	46
LeBron James	LAL	SF,PF	2006	635	627	51
Karl-Anthony Towns	MIN	C	2003	984	256	126
Devin Booker	PHO	PG,SG	1936	304	411	18
Donovan Mitchell	UTH	PG,SG	1918	334	323	33
Kemba Walker	BOS	PG	1864	306	468	29
Kawhi Leonard	LAC	SG,SF	1833	496	251	50
Kyrie Irving	BKN	PG,SG	1780	283	468	25
Joel Embiid	PHI	PF,C	1777	867	240	129
DeMar DeRozan	SAS	SG,SF	1760	417	414	29
CJ McCollum	POR	PG,SG	1722	330	264	33
LaMarcus Aldridge	SAS	PF,C	1684	691	170	96
Russell Westbrook	HOU	PG	1670	676	656	29
Jimmy Butler	MIA	SG,SF	1660	433	383	47
Paul George	LAC	SF,PF 	1654	507	276	30
Jrue Holiday	NOR	PG,SG	1642	371	471	59
Luka Doncic	DAL	PG,SG,PF	1638	552	475	25
Blake Griffin	DET	PF,C	1603	515	367	24
Nikola Jokic	DEN	PF,C	1599	889	573	61
Buddy Hield	SAC	SG	1594	388	201	29
Zach LaVine	CHI	PG,SG	1593	321	303	23
Trae Young	ATL	PG	1555	289	644	17
Julius Randle	NYK	PF,C	1519	652	258	47
D'Angelo Russell	GSW	PG,SG	1517	313	435	21
Tobias Harris	PHI	SF,PF	1515	583	222	40
Khris Middleton	MIL	SG,SF	1504	460	333	13
John Collins	ATL	PF,C	1450	744	142	88
Mike Conley	UTH	PG	1429	251	448	23
Nikola Vucevic	ORL	PF,C	1427	846	285	89
Lou Williams	LAC	PG,SG	1426	212	340	11
Jamal Murray	DEN	PG,SG	1417	331	352	29
Zion Williamson	NOR	PF 	1407	649	219	84
Andre Drummond	DET	PF,C	1389	1237	156	140
De'Aaron Fox	SAC	PG	1387	295	568	41
Collin Sexton	CLE	PG	1382	249	326	14
Ben Simmons	PHI	PG,SF	1378	679	674	70
Deandre Ayton	PHO	C	1377	778	140	105
Jayson Tatum	BOS	SF,PF	1376	488	174	61
Danilo Gallinari	OKC	SF,PF	1368	424	160	22
Kyle Kuzma	LAL	SF,PF 	1361	434	171	32
Lauri Markkanen	CHI	PF	1352	620	101	46
Marvin Bagley III	SAC	PF	1340	662	117	83
Andrew Wiggins	MIN	SG,SF	1335	338	172	46
Victor Oladipo	IND	PG,SG 	1319	341	323	31
Harrison Barnes	SAC	SF,PF	1291	383	125	15
Dennis Smith Jr.	NYK	PG,SG	1287	283	375	25
Pascal Siakam	TOR	PF	1286	550	244	54
Aaron Gordon	ORL	SF,PF	1279	564	241	56
TJ Warren	IND	SF,PF	1272	330	107	45
Ja Morant	MEM	PG	1257	314	582	27
Kevin Love	CLE	PF,C	1246	682	151	24
Jaylen Brown	BOS	SG,SF	1225	383	138	46
Kyle Lowry	TOR	PG	1223	364	528	29
JJ Redick	NOR	SG	1219	171	180	12
Gordon Hayward	BOS	SG,SF	1212	385	303	27
Brandon Ingram	NOR	SG,SF	1210	357	234	49
RJ Barrett	NYK	SF,SG	1205	428	223	26
Evan Fournier	ORL	SG,SF	1205	243	258	11
Rudy Gobert	UTH	C	1197	992	142	197
Goran Dragic	MIA	PG,SG	1191	274	390	11
Otto Porter Jr.	CHI	SF,PF	1188	456	177	46
Kristaps Porzingis	DAL	PF,C	1180	410	72	108
Eric Gordon	HOU	SG,SF	1178	170	146	29
Bojan Bogdanovic	UTH	SG,SF	1173	360	150	11
Eric Bledsoe	MIL	PG,SG 	1172	352	426	33
Dennis Schroder	OKC	PG,SG	1169	245	330	11
Gary Harris	DEN	SG,SF	1163	209	190	19
Reggie Jackson	DET	PG,SG	1162	199	364	7
Jaren Jackson Jr.	MEM	PF,C	1156	499	103	120
Malcolm Brogdon	IND	PG,SG	1154	301	348	14
Jonas Valanciunas	MEM	C	1150	698	112	96
Clint Capela	HOU	PF,C	1146	842	97	134
Jordan Clarkson	CLE	PG,SG	1139	233	208	11
Terry Rozier	CHA	PG,SG	1131	407	316	25
Tim Hardaway Jr.	DAL	SG,SF 	1112	228	164	9
Josh Richardson	PHI	SG,SF	1111	280	237	66
Myles Turner	IND	PF,C	1110	587	131	185
Domantas Sabonis	IND	PF,C	1106	737	250	38
Marc Gasol	TOR	C	1104	564	309	87
Chris Paul	OKC	PG	1100	310	534	17
Jeremy Lamb	IND	SG,SF	1097	363	203	30
Derrick Favors	NOR	PF,C	1094	642	114	114
Montrezl Harrell	LAC	PF,C	1092	529	170	99
Caris LeVert	BKN	SG,SF	1085	296	314	41
Steven Adams	OKC	C	1079	786	117	78
Rodney Hood	POR	SG,SF	1077	200	146	15
Bogdan Bogdanovic	SAC	SG,SF	1076	264	295	19
Thomas Bryant	WAS	C	1073	706	145	102
Kevin Knox	NYK	SF,PF	1070	363	107	36
Taurean Prince	BKN	SF	1061	337	178	32
Serge Ibaka	TOR	PF,C	1048	564	78	92
Enes Kanter	BOS	C	1044	703	133	34
Miles Bridges	CHA	SF	1042	447	140	71
Darius Garland	CLE	PG,SG	1029	214	233	8
Paul Millsap	DEN	PF,C	1000	516	174	66
Brook Lopez	MIL	C	997	372	110	152
Hassan Whiteside	POR	C	994	846	65	149
Shai Gilgeous-Alexander	OKC	PG,SG	994	264	352	43
Dario Saric	PHO	PF,C	994	474	162	16
Rui Hachimura	WAS	PF,SF	986	492	139	71
Will Barton	DEN	SG,SF	985	357	256	39
Al Horford	PHI	PF,C	982	534	311	95
Tyler Herro	MIA	SG	962	229	156	26
Dejounte Murray	SAS	PG	960	516	307	35
Fred VanVleet	TOR	PG	952	207	333	22
Ricky Rubio	PHO	PG	952	302	564	10
Alex Len	ATL	PF,C	945	541	99	85
Kelly Oubre Jr.	PHO	SF	941	352	101	52
De'Andre Hunter	ATL	SF	939	398	167	33
Terrence Ross	ORL	SG,SF	937	228	112	27
Wendell Carter Jr.	CHI	C,PF	937	640	132	103
D.J. Augustin	ORL	PG	936	197	391	0
Jeff Teague	MIN	PG	931	207	525	26
Rudy Gay	SAS	SF,PF	918	414	155	40
Kent Bazemore	POR	SG,SF	918	307	200	49
Nicolas Batum	CHA	SG,SF	912	374	371	35
Josh Jackson	MEM	SG,SF	912	362	158	50
Justise Winslow	MIA	PF,PG,SF	911	428	293	31
Isaiah Thomas	WAS	PG	909	136	301	9
Spencer Dinwiddie	BKN	PG,SG	909	183	340	20
Bobby Portis	NYK	PF,C	908	487	103	28
Kevin Huerter	ATL	SG	894	264	224	20
Derrick White	SAS	PG,SG	885	293	277	54
Joe Ingles	UTH	SG,SF	885	335	357	31
Marcus Morris	NYK	SF,PF	880	370	97	20
Kelly Olynyk	MIA	PF,C	878	427	179	45
Joe Harris	BKN	SG,SF	874	259	142	15
Bam Adebayo	MIA	PF,C	869	662	190	87
Jabari Parker	ATL	SF,PF	866	363	118	26
Robert Covington	MIN	SF,PF	863	342	162	59
Malik Monk	CHA	SG	857	161	177	22
Dion Waiters	MIA	SG,SF 	854	184	217	20
Jerami Grant	DEN	SF,PF	849	348	98	99
Dillon Brooks	MEM	SG,SF	844	220	110	16
Jarrett Allen	BKN	PF,C	837	612	88	114
Dwight Howard	LAL	PF,C	836	647	71	83
Lonzo Ball	NOR	PG	826	437	612	44
Rondae Hollis-Jefferson	TOR	SF,PF 	825	437	148	48
Willie Cauley-Stein	GSW	PF,C 	819	503	166	61
Kentavious Caldwell-Pope	LAL	SG,SF	817	236	114	15
Luke Kennard	DET	SG,SF	817	250	164	17
Draymond Green	GSW	PF,C	817	602	580	97
Mitchell Robinson	NYK	C	815	671	59	220
Ish Smith	WAS	PG	812	228	344	17
Wesley Matthews	MIL	SG,SF	806	170	141	14
Mario Hezonja	POR	SG,SF	799	348	131	16
DeMarre Carroll	SAS	SF,PF	799	388	114	22
DeAndre Jordan	BKN	C	798	936	139	78
Thaddeus Young	CHI	SF,PF	797	372	127	25
Derrick Rose	DET	PG,SG	778	141	203	10
Jonathan Isaac	ORL	SF,PF	775	424	90	107
Bryn Forbes	SAS	PG,SG	775	186	133	0
Klay Thompson	GSW	SG,SF 	769	135	85	19
Elfrid Payton	NYK	PG	766	297	416	27
OG Anunoby	TOR	SF,PF	761	302	79	29
Markieff Morris	DET	PF,C	760	348	112	31
Avery Bradley	LAL	PG,SG	755	207	143	16
James Johnson	MIA	SF,PF	750	317	245	61
Cedi Osman	CLE	SF,PF	748	288	139	16
Jae Crowder	MEM	SF,PF	748	292	105	24
Markelle Fultz	ORL	PG,SG	746	237	252	24
Tyler Johnson	PHO	PG,SG	746	211	175	33
Marcus Smart	BOS	PG,SG	745	319	270	39
Norman Powell	TOR	SG,SF	728	212	129	19
Dewayne Dedmon	SAC	C	727	550	96	71
Seth Curry	DAL	PG,SG	720	161	113	14
Kris Dunn	CHI	PG,SG	720	246	344	32
JaVale McGee	LAL	C	720	457	60	110
JaMychal Green	LAC	PF,C	711	526	79	34
Allen Crabbe	ATL	SG,SF	705	235	86	23
Tomas Satoransky	CHI	PG,SG	704	281	288	17
Dwight Powell	DAL	PF,C 	700	367	148	40
Danny Green	LAL	SG,SF	693	280	124	59
Zach Collins	POR	PF,C	690	427	103	85
Jeff Green	UTH	SF,PF	686	222	93	22
Delon Wright	DAL	PG,SG	686	256	254	30
C.J. Miles	WAS	SG,SF 	685	175	62	21
Austin Rivers	HOU	PG,SG	681	135	160	17
George Hill	MIL	PG,SG	680	189	217	19
Frank Kaminsky	PHO	PF,C	675	237	103	27
Anfernee Simons	POR	SG	669	157	157	10
Cody Zeller	CHA	PF,C	666	451	122	57
Taj Gibson	NYK	PF,C	664	410	70	43
Tristan Thompson	CLE	PF,C	662	656	98	40
Landry Shamet	LAC	PG,SF	661	132	148	7
Larry Nance Jr.	CLE	PF,C	659	563	166	44
Monte Morris	DEN	PG	652	148	235	0
Davis Bertans	WAS	PF,C	649	272	111	36
Tony Snell	DET	SG,SF	647	216	99	19
Gerald Green	HOU	SG,SF 	639	170	37	24
Patrick Beverley	LAC	PG,SG	639	335	335	39
Patty Mills	SAS	PG	638	134	183	5
Courtney Lee	DAL	SG,SF	631	167	119	11
Josh Hart	NOR	SG,SF	629	273	103	32
Kevon Looney	GSW	PF,C	627	483	117	82
Brandon Clarke	MEM	PF	620	404	89	79
Trey Lyles	SAS	PF	617	298	79	27
Aaron Holiday	IND	PG	614	137	221	21
Robin Lopez	MIL	C	609	290	82	80
Trey Burke	PHI	PG	607	96	213	3
Trevor Ariza	SAC	SG,SF	606	253	136	14
Al-Farouq Aminu	ORL	SF,PF	604	458	84	31
Dante Exum	UTH	PG,SG	603	138	227	9
Stanley Johnson	TOR	SG,SF	601	272	113	18
Maurice Harkless	LAC	SF	600	267	85	55
Michael Kidd-Gilchrist	CHA	SF	599	341	80	43
Ivica Zubac	LAC	C	594	445	86	69
Mikal Bridges	PHO	SG,SF	594	279	140	38
Jakob Poeltl	SAS	C	592	479	94	91
Gorgui Dieng	MIN	PF,C	591	402	90	51
Marvin Williams	CHA	SF,PF	588	331	72	30
Kyle Anderson	MEM	SG,SF,PF	588	397	206	59
Justin Holiday	IND	SG,SF	587	201	102	21
Doug McDermott	IND	SF	578	143	70	11
Justin Jackson	DAL	SF	574	214	94	14
Kyle Korver	MIL	SG,SF	573	153	85	17
Shabazz Napier	MIN	PG	573	131	153	16
P.J. Tucker	HOU	SF,PF	561	467	94	32
Jusuf Nurkic	POR	C 	558	367	100	53
Emmanuel Mudiay	UTH	PG	557	153	190	15
Ersan Ilyasova	MIL	SF,PF	557	322	65	22
Michael Porter Jr.	DEN	SF,PF	548	196	96	16
Pau Gasol	POR	PF,C	544	454	131	35
Alfonzo McKinnie	GSW	PF,SF	534	390	45	21
Royce O'Neale	UTH	SF,SG	532	313	127	26
Mason Plumlee	DEN	PF,C	528	322	170	44
Evan Turner	ATL	SG,SF	526	236	202	23
Willy Hernangomez	CHA	C	525	377	69	29
Josh Okogie	MIN	SG	519	202	129	29
Lonnie Walker IV	SAS	SG	518	159	132	17
Troy Brown Jr.	WAS	SG,SF	518	266	136	19
Rajon Rondo	LAL	PG	517	284	454	9
Anthony Tolliver	POR	SF,PF	516	224	68	20
Jalen Brunson	DAL	PG	509	145	205	5
DeAndre' Bembry	ATL	SF	505	261	147	29
Denzel Valentine	CHI	SG,SF 	502	243	146	6
Mohamed Bamba	ORL	C	500	384	62	100
Cory Joseph	SAC	PG,SG	495	213	224	16
Mike Muscala	OKC	PF,C	492	253	71	34
Tyus Jones	MEM	PG	489	144	310	8
Marquese Chriss	GSW	PF,C	488	318	69	66
J.J. Barea	DAL	PG,SG	482	120	250	0
Goga Bitadze	IND	C	477	323	67	74
Boban Marjanovic	DAL	C	476	311	64	31
Nerlens Noel	OKC	PF,C	468	403	57	85
Ante Zizic	CLE	C 	462	321	45	42
Bismack Biyombo	CHA	PF,C	460	418	57	88
Nemanja Bjelica	SAC	PF,SF	459	270	89	26
Jahlil Okafor	NOR	C	457	227	37	42
Daniel Theis	BOS	PF,C	454	289	82	51
Jordan Bell	MIN	PF,C	450	368	165	97
Wilson Chandler	BKN	SF,PF	445	232	85	19
Greg Monroe	PHI	PF,C	443	271	91	25
Luke Kornet	CHI	PF,C	443	258	54	60
Aron Baynes	PHO	C	433	353	74	52
Khem Birch	ORL	PF,C	429	280	61	71
Pat Connaughton	MIL	SG,SF	426	209	99	21
Ed Davis	UTH	PF,C	423	622	57	47
Noah Vonleh	MIN	PF,C	419	396	92	36
James Ennis III	PHI	SG,SF	417	196	54	18
Thon Maker	DET	PF,C	417	248	45	61
T.J. McConnell	IND	PG	389	156	254	10
Matisse Thybulle	PHI	SF,SG	366	139	71	48
Richaun Holmes	SAC	PF,C	363	192	77	36
Andre Roberson	OKC	SG,SF	361	316	75	56
Jaxson Hayes	NOR	C	354	226	34	80
Tyler Ulis	SAC	PG	334	185	162	40
Kenneth Faried	HOU	PF,C	328	227	28	23
John Henson	CLE	PF,C	319	278	41	44
Tyson Chandler	HOU	C	311	385	40	33
Andre Iguodala	MEM	SG,SF	309	186	162	32
Bruno Fernando	ATL	C,PF	306	231	50	33
Kyle O'Quinn	PHI	PF,C	286	227	81	51
Amir Johnson	PHI	PF,C	274	211	76	34
Jonah Bolden	PHI	PF,C	261	214	51	48
Damian Jones	ATL	C	258	150	53	44
Kosta Koufos	SAC	PF,C	253	250	41	21
DeMarcus Cousins	LAL	PF,C 	224	125	39	19
Tyler Zeller	DEN	PF,C	196	135	26	16
Timofey Mozgov	ORL	C	178	110	16	20
Ian Mahinmi	WAS	C 	142	123	22	23
Joakim Noah	MEM	PF,C	141	133	41	25
